locus_name	symbol	full_name
AT1G01200	ATRAB-A3	ARABIDOPSIS RAB GTPASE HOMOLOG A3
AT1G01200	ATRABA3	RAB GTPase homolog A3
AT1G01200	RABA3	RAB GTPase homolog A3
AT1G01220	AtFKGP	Arabidopsis thaliana L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01220	FKGP	L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01260	JAM2	Jasmonate Associated MYC2 LIKE 2
AT1G01280	CYP703	
AT1G01280	CYP703A2	"cytochrome P450, family 703, subfamily A, polypeptide 2"
AT1G01290	CNX3	cofactor of nitrate reductase and xanthine dehydrogenase 3
AT1G01340	ACBK1	
AT1G01340	ATCNGC10	cyclic nucleotide gated channel 10
AT1G01340	CNGC10	cyclic nucleotide gated channel 10
AT1G01360	PYL9	PYRABACTIN RESISTANCE 1-LIKE 9
AT1G01360	RCAR1	regulatory component of ABA receptor 1
AT1G01370	CENH3	CENTROMERIC HISTONE H3
AT1G01370	HTR12	
AT1G01380	ETC1	ENHANCER OF TRY AND CPC 1
AT1G01410	APUM22	pumilio 22
AT1G01410	PUM22	pumilio 22
AT1G01420	UGT72B3	UDP-glucosyl transferase 72B3
AT1G01430	TBL25	TRICHOME BIREFRINGENCE-LIKE 25
AT1G01460	ATPIPK11	
AT1G01460	PIPK11	
AT1G01470	LEA14	LATE EMBRYOGENESIS ABUNDANT 14
AT1G01470	LSR3	LIGHT STRESS-REGULATED 3
AT1G01480	ACS2	1-amino-cyclopropane-1-carboxylate synthase 2
AT1G01480	AT-ACC2	
AT1G01510	AN	ANGUSTIFOLIA
AT1G01510	DOQ	DETORQUEO
AT1G01520	ASG4	ALTERED SEED GERMINATION 4
AT1G01530	AGL28	AGAMOUS-like 28
AT1G01550	BPS1	BYPASS 1
AT1G01560	ATMPK11	MAP kinase 11
AT1G01560	MPK11	MAP kinase 11
AT1G01580	ATFRO2	FERRIC REDUCTION OXIDASE 2
AT1G01580	FRD1	FERRIC CHELATE REDUCTASE DEFECTIVE 1
AT1G01580	FRO2	ferric reduction oxidase 2
AT1G01590	ATFRO1	FERRIC REDUCTION OXIDASE 1
AT1G01590	FRO1	ferric reduction oxidase 1
AT1G01600	CYP86A4	"cytochrome P450, family 86, subfamily A, polypeptide 4"
AT1G01610	ATGPAT4	GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 4
AT1G01610	GPAT4	GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 4
AT1G01620	PIP1;3	PLASMA MEMBRANE INTRINSIC PROTEIN 1;3
AT1G01620	PIP1C	plasma membrane intrinsic protein 1C
AT1G01620	TMP-B	
AT1G01650	ATSPPL4	ARABIDOPSIS THALIANA SIGNAL PEPTIDE PEPTIDASE-LIKE 4
AT1G01650	SPPL4	SIGNAL PEPTIDE PEPTIDASE-LIKE 4
AT1G01680	ATPUB54	PLANT U-BOX 54
AT1G01680	PUB54	plant U-box 54
AT1G01690	ATPRD3	ARABIDOPSIS THALIANA PUTATIVE RECOMBINATION INITIATION DEFECTS 3
AT1G01690	PRD3	putative recombination initiation defects 3
AT1G01695	TRM33	TON1 Recruiting Motif 33
AT1G01700	ATROPGEF2	
AT1G01700	ROPGEF2	ROP (rho of plants) guanine nucleotide exchange factor 2
AT1G01720	ANAC002	Arabidopsis NAC domain containing protein 2
AT1G01720	ATAF1	
AT1G01740	BSK4	brassinosteroid-signaling kinase 4
AT1G01750	ADF11	actin depolymerizing factor 11
AT1G01760	AtTAD1	
AT1G01760	TAD1	ortholog of yeast Tad1
AT1G01780	PLIM2b	PLIM2b
AT1G01790	ATKEA1	K+ EFFLUX ANTIPORTER 1
AT1G01790	KEA1	K+ efflux antiporter 1
AT1G01820	PEX11C	peroxin 11c
AT1G01860	PFC1	PALEFACE 1
AT1G01900	ATSBT1.1	
AT1G01900	SBTI1.1	
AT1G01950	ARK2	armadillo repeat kinesin 2
AT1G01950	AtKINUb	Arabidopsis thaliana KINESIN Ungrouped clade, gene B
AT1G01960	EDA10	embryo sac development arrest 10
AT1G02000	GAE2	UDP-D-glucuronate 4-epimerase 2
AT1G02010	SEC1A	secretory 1A
AT1G02050	LAP6	LESS ADHESIVE POLLEN 6
AT1G02050	PSKA	polyketide synthase A
AT1G02065	SPL8	squamosa promoter binding protein-like 8
AT1G02090	ATCSN7	ARABIDOPSIS THALIANA COP9 SIGNALOSOME SUBUNIT 7
AT1G02090	COP15	CONSTITUTIVE PHOTOMORPHOGENIC 15
AT1G02090	CSN7	COP9 SIGNALOSOME SUBUNIT 7
AT1G02090	FUS5	FUSCA 5
AT1G02100	SBI1	SUPPRESSOR OF BRI1
AT1G02120	VAD1	VASCULAR ASSOCIATED DEATH1
AT1G02130	ARA-5	RAS 5
AT1G02130	ARA5	ARABIDOPSIS RAS 5
AT1G02130	ATRAB1B	ARABIDOPSIS THALIANA RESPONSIVE TO ABSCISIC ACID 1B
AT1G02130	ATRABD2A	ARABIDOPSIS THALIANA RAB D2A
AT1G02130	RA-5	RAS 5
AT1G02130	RABD2A	RAB D2A
AT1G02140	HAP1	HAPLESS 1
AT1G02140	MAGO	MAGO NASHI
AT1G02140	MEE63	MATERNAL EFFECT EMBRYO ARREST 63
AT1G02145	ALG12	homolog of asparagine-linked glycosylation 12
AT1G02145	EBS4	EMS-MUTAGENIZED BRI1(BRASSINOSTEROID INSENSITIVE 1) SUPPRESSOR 4
AT1G02170	ATMC1	ARABIDOPSIS THALIANA METACASPASE 1
AT1G02170	AtMCP1b	metacaspase 1b
AT1G02170	ATMCPB1	ARABIDOPSIS THALIANA METACASPASE 1B
AT1G02170	LOL3	LSD ONE LIKE 3
AT1G02170	MC1	metacaspase 1
AT1G02170	MCP1b	metacaspase 1b
AT1G02205	CER1	ECERIFERUM 1
AT1G02205	CER22	ECERIFERUM 22
AT1G02220	ANAC003	NAC domain containing protein 3
AT1G02220	NAC003	NAC domain containing protein 3
AT1G02230	ANAC004	NAC domain containing protein 4
AT1G02230	NAC004	NAC domain containing protein 4
AT1G02250	anac005	NAC domain containing protein 5
AT1G02250	NAC005	NAC domain containing protein 5
AT1G02280	ATTOC33	
AT1G02280	PPI1	PLASTID PROTEIN IMPORT 1
AT1G02280	TOC33	translocon at the outer envelope membrane of chloroplasts 33
AT1G02310	MAN1	endo-beta-mannanase 1
AT1G02335	GL22	germin-like protein subfamily 2 member 2 precursor
AT1G02335	PDGLP2	PLASMODESMAL GERMIN-LIKE PROTEIN 2
AT1G02340	FBI1	
AT1G02340	HFR1	LONG HYPOCOTYL IN FAR-RED
AT1G02340	REP1	REDUCED PHYTOCHROME SIGNALING 1
AT1G02340	RSF1	REDUCED SENSITIVITY TO FAR-RED LIGHT 1
AT1G02390	ATGPAT2	GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 2
AT1G02390	GPAT2	GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 2
AT1G02400	ATGA2OX4	Arabidopsis thaliana gibberellin 2-oxidase 4
AT1G02400	ATGA2OX6	ARABIDOPSIS THALIANA GIBBERELLIN 2-OXIDASE 6
AT1G02400	DTA1	DOWNSTREAM TARGET OF AGL15 1
AT1G02400	GA2OX6	gibberellin 2-oxidase 6
AT1G02430	ARFD1B	ADP-ribosylation factor D1B
AT1G02430	ATARFD1B	ADP-ribosylation factor D1B
AT1G02440	ARFD1A	ADP-ribosylation factor D1A
AT1G02440	ATARFD1A	ADP-ribosylation factor D1A
AT1G02450	NIMIN-1	
AT1G02450	NIMIN1	NIM1-interacting 1
AT1G02500	AtSAM1	
AT1G02500	MAT1	
AT1G02500	METK1	
AT1G02500	SAM-1	S-ADENOSYLMETHIONINE SYNTHETASE-1
AT1G02500	SAM1	S-adenosylmethionine synthetase 1
AT1G02510	ATKCO4	CA2+ ACTIVATED OUTWARD RECTIFYING K+ CHANNEL 4
AT1G02510	ATTPK4	
AT1G02510	KCO4	CA2+ ACTIVATED OUTWARD RECTIFYING K+ CHANNEL 4
AT1G02510	TPK4	
AT1G02520	ABCB11	ATP-binding cassette B11
AT1G02520	MDR8	multi-drug resistance 8
AT1G02520	PGP11	P-glycoprotein 11
AT1G02530	ABCB12	ATP-binding cassette B12
AT1G02530	PGP12	P-glycoprotein 12
AT1G02560	CLPP5	nuclear encoded CLP protease 5
AT1G02560	NCLPP1	NUCLEAR-ENCODED CLPP 1
AT1G02560	NCLPP5	NUCLEAR CLPP 5
AT1G02580	EMB173	EMBRYO DEFECTIVE 173
AT1G02580	FIS1	FERTILIZATION INDEPENDENT SEED 1
AT1G02580	MEA	MEDEA
AT1G02580	SDG5	SET DOMAIN-CONTAINING PROTEIN 5
AT1G02640	ATBXL2	BETA-XYLOSIDASE 2
AT1G02640	BXL2	beta-xylosidase 2
AT1G02680	TAF13	TBP-associated factor 13
AT1G02690	IMPA-6	importin alpha isoform 6
AT1G02720	GATL5	galacturonosyltransferase-like 5
AT1G02730	ATCSLD5	cellulose synthase-like D5
AT1G02730	CSLD5	CELLULOSE SYNTHASE LIKE D5
AT1G02730	CSLD5	cellulose synthase-like D5
AT1G02730	SOS6	SALT OVERLY SENSITIVE 6
AT1G02780	emb2386	embryo defective 2386
AT1G02790	PGA4	polygalacturonase 4
AT1G02800	ATCEL2	cellulase 2
AT1G02800	CEL2	
AT1G02800	CEL2	cellulase 2
AT1G02820	AtLEA3	
AT1G02820	LEA3	late embryogenesis abundant 3
AT1G02840	At-SR34	Serine/Arginine-Rich Protein Splicing Factor 34
AT1G02840	ATSRP34	
AT1G02840	SR1	
AT1G02840	SR34	Serine/Arginine-Rich Protein Splicing Factor 34
AT1G02840	SRP34	
AT1G02850	BGLU11	beta glucosidase 11
AT1G02860	BAH1	BENZOIC ACID HYPERSENSITIVE 1
AT1G02860	NLA	nitrogen limitation adaptation
AT1G02880	TPK1	thiamin pyrophosphokinase1
AT1G02900	ATRALF1	RAPID ALKALINIZATION FACTOR 1
AT1G02900	RALF1	rapid alkalinization factor 1
AT1G02900	RALFL1	RALF-LIKE 1
AT1G02910	LPA1	LOW PSII ACCUMULATION1
AT1G02920	ATGST11	ARABIDOPSIS GLUTATHIONE S-TRANSFERASE 11
AT1G02920	ATGSTF7	
AT1G02920	ATGSTF8	
AT1G02920	GST11	GLUTATHIONE S-TRANSFERASE 11
AT1G02920	GSTF7	glutathione S-transferase 7
AT1G02930	ATGST1	ARABIDOPSIS GLUTATHIONE S-TRANSFERASE 1
AT1G02930	ATGSTF3	ARABIDOPSIS THALIANA GLUATIONE S-TRANSFERASE F3
AT1G02930	ATGSTF6	GLUTATHIONE S-TRANSFERASE
AT1G02930	ERD11	EARLY RESPONSIVE TO DEHYDRATION 11
AT1G02930	GST1	GLUTATHIONE S-TRANSFERASE 1
AT1G02930	GSTF6	glutathione S-transferase 6
AT1G02940	ATGSTF5	GLUTATHIONE S-TRANSFERASE (CLASS PHI) 5
AT1G02940	GSTF5	glutathione S-transferase (class phi) 5
AT1G02950	ATGSTF4	glutathione S-transferase F4
AT1G02950	GST31	GLUTATHIONE S-TRANSFERASE 31
AT1G02950	GSTF4	glutathione S-transferase F4
AT1G02970	ATWEE1	
AT1G02970	WEE1	WEE1 kinase homolog
AT1G02980	ATCUL2	
AT1G02980	CUL2	cullin 2
AT1G03000	PEX6	peroxin 6
AT1G03055	AtD27	A. thaliana homolog of rice D27
AT1G03055	D27	DWARF27
AT1G03060	SPI	SPIRRIG
AT1G03070	AtLFG4	
AT1G03070	LFG4	LIFEGUARD 4
AT1G03080	NET1D	Networked 1D
AT1G03090	MCCA	
AT1G03110	AtTRM82	
AT1G03110	TRM82	tRNA modification 82
AT1G03120	ATRAB28	responsive to abscisic acid 28
AT1G03120	RAB28	responsive to abscisic acid 28
AT1G03130	PSAD-2	photosystem I subunit D-2
AT1G03160	FZL	FZO-like
AT1G03170	FAF2	FANTASTIC FOUR 2
AT1G03170	FTM5	FLORAL TRANSITION AT THE MERISTEM5
AT1G03190	ATXPD	ARABIDOPSIS THALIANA XERODERMA PIGMENTOSUM GROUP D
AT1G03190	UVH6	ULTRAVIOLET HYPERSENSITIVE 6
AT1G03300	ATDUF1	DOMAIN OF UNKNOWN FUNCTION 724 1
AT1G03300	DUF1	DOMAIN OF UNKNOWN FUNCTION 724 1
AT1G03310	AtBE2	
AT1G03310	ATISA2	ARABIDOPSIS THALIANA ISOAMYLASE 2
AT1G03310	BE2	BRANCHING ENZYME 2
AT1G03310	DBE1	debranching enzyme 1
AT1G03310	ISA2	
AT1G03330	LSM2	SM-like 2
AT1G03360	ATRRP4	ribosomal RNA processing 4
AT1G03360	RRP4	ribosomal RNA processing 4
AT1G03380	ATATG18G	homolog of yeast autophagy 18 (ATG18) G
AT1G03380	ATG18G	homolog of yeast autophagy 18 (ATG18) G
AT1G03410	2A6	
AT1G03420	Sadhu4-2	sadhu non-coding retrotransposon 4-2
AT1G03430	AHP5	histidine-containing phosphotransfer factor 5
AT1G03445	BSU1	BRI1 SUPPRESSOR 1
AT1G03457	AtBRN2	
AT1G03457	BRN2	Bruno-like 2
AT1G03470	NET3A	Networked 3A
AT1G03475	ATCPO-I	
AT1G03475	HEMF1	
AT1G03475	LIN2	LESION INITIATION 2
AT1G03490	ANAC006	NAC domain containing protein 6
AT1G03490	NAC006	NAC domain containing protein 6
AT1G03530	ATNAF1	
AT1G03530	NAF1	nuclear assembly factor 1
AT1G03550	AtSCAMP4	
AT1G03550	SCAMP4	Secretory carrier membrane protein 4
AT1G03600	PSB27	
AT1G03630	POR C	protochlorophyllide oxidoreductase C
AT1G03630	PORC	
AT1G03680	ATHM1	thioredoxin M-type 1
AT1G03680	ATM1	ARABIDOPSIS THIOREDOXIN M-TYPE 1
AT1G03680	THM1	thioredoxin M-type 1
AT1G03680	TRX-M1	THIOREDOXIN M-TYPE 1
AT1G03750	CHR9	CHROMATIN REMODELING 9
AT1G03770	ATRING1B	ARABIDOPSIS THALIANA RING 1B
AT1G03770	RING1B	RING 1B
AT1G03780	AtTPX2	
AT1G03780	TPX2	targeting protein for XKLP2
AT1G03790	AtTZF4	
AT1G03790	SOM	SOMNUS
AT1G03790	TZF4	Tandem CCCH Zinc Finger protein 4
AT1G03800	ATERF10	ARABIDOPSIS THALIANA RF DOMAIN PROTEIN 10
AT1G03800	ERF10	ERF domain protein 10
AT1G03840	MGP	Magpie
AT1G03850	ATGRXS13	glutaredoxin 13
AT1G03850	GRXS13	glutaredoxin 13
AT1G03860	ATPHB2	prohibitin 2
AT1G03860	PHB2	prohibitin 2
AT1G03870	FLA9	FASCICLIN-like arabinoogalactan 9
AT1G03880	CRB	CRUCIFERIN B
AT1G03880	CRU2	cruciferin 2
AT1G03900	ABCI18	ATP-binding cassette I18
AT1G03900	ATNAP4	non-intrinsic ABC protein 4
AT1G03900	NAP4	non-intrinsic ABC protein 4
AT1G03905	ABCI19	ATP-binding cassette I19
AT1G03910	CTN	CACTIN
AT1G03930	ADK1	dual specificity kinase 1
AT1G03930	CKL9ALPHA	CASEIN KINASE I-LIKE 9 ALPHA
AT1G03930	CKL9BETA	CASEIN KINASE I-LIKE 9 BETA
AT1G03950	VPS2.3	vacuolar protein sorting-associated protein 2.3
AT1G03970	GBF4	G-box binding factor 4
AT1G03980	ATPCS2	phytochelatin synthase 2
AT1G03980	PCS2	phytochelatin synthase 2
AT1G04010	ATPSAT1	
AT1G04010	ERP1	enhanced response to Phytophthora 1
AT1G04010	PSAT1	phospholipid sterol acyl transferase 1
AT1G04020	ATBARD1	
AT1G04020	BARD1	breast cancer associated RING 1
AT1G04020	ROW1	
AT1G04050	SDG13	SET DOMAIN PROTEIN 13
AT1G04050	SUVR1	homolog of SU(var)3-9 1
AT1G04070	ATTOM22-I	
AT1G04070	TOM22-I	translocase of outer membrane 22-I
AT1G04080	PRP39	
AT1G04100	IAA10	indoleacetic acid-induced protein 10
AT1G04110	AtSDD1	
AT1G04110	SDD1	STOMATAL DENSITY AND DISTRIBUTION 1
AT1G04120	ABCC5	ATP-binding cassette C5
AT1G04120	ATABCC5	Arabidopsis thaliana ATP-binding cassette C5
AT1G04120	ATMRP5	multidrug resistance-associated protein 5
AT1G04120	MRP5	MULTIDRUG RESISTANCE PROTEIN 5
AT1G04120	MRP5	multidrug resistance-associated protein 5
AT1G04130	AtTPR2	
AT1G04130	TPR2	tetratricopeptide repeat 2
AT1G04160	ATXIB	ARABIDOPSIS THALIANA MYOSIN XI B
AT1G04160	XI-8	MYOSIN XI-8
AT1G04160	XI-B	MYOSIN XI B
AT1G04160	XIB	myosin XI B
AT1G04170	EIF2 GAMMA	eukaryotic translation initiation factor 2 gamma subunit
AT1G04180	YUC9	YUCCA 9
AT1G04190	TPR3	tetratricopeptide repeat 3
AT1G04220	KCS2	3-ketoacyl-CoA synthase 2
AT1G04240	IAA3	indole-3-acetic acid inducible 3
AT1G04240	SHY2	SHORT HYPOCOTYL 2
AT1G04250	AXR3	AUXIN RESISTANT 3
AT1G04250	IAA17	indole-3-acetic acid inducible 17
AT1G04260	MPI7	CAMV movement protein interacting protein 7
AT1G04260	MPIP7	CAMV MOVEMENT PROTEIN INTERACTING PROTEIN 7
AT1G04260	PRA1.D	PRENYLATED RAB ACCEPTOR 1.D
AT1G04270	RPS15	cytosolic ribosomal protein S15
AT1G04310	ERS2	ethylene response sensor 2
AT1G04370	ATERF14	Ethylene-responsive element binding factor 14
AT1G04370	ERF14	Ethylene-responsive element binding factor 14
AT1G04400	AT-PHH1	
AT1G04400	ATCRY2	
AT1G04400	CRY2	cryptochrome 2
AT1G04400	FHA	
AT1G04400	PHH1	
AT1G04410	c-NAD-MDH1	cytosolic-NAD-dependent malate dehydrogenase 1
AT1G04440	CKL13	casein kinase like 13
AT1G04450	RIC3	ROP-interactive CRIB motif-containing protein 3
AT1G04510	MAC3A	MOS4-associated  complex 3A
AT1G04520	PDLP2	plasmodesmata-located protein 2
AT1G04530	TPR4	tetratricopeptide repeat 4
AT1G04550	BDL	BODENLOS
AT1G04550	IAA12	indole-3-acetic acid inducible 12
AT1G04580	AAO4	aldehyde oxidase 4
AT1G04580	AO4	aldehyde oxidase 4
AT1G04580	ATAO-4	arabdopsis thaliana aldehyde oxidase 4
AT1G04580	ATAO2	ALDEHYDE OXIDASE 2
AT1G04600	ATXIA	
AT1G04600	XIA	myosin XI A
AT1G04610	YUC3	YUCCA 3
AT1G04620	HCAR	7-hydroxymethyl chlorophyll a (HMChl) reductase
AT1G04630	MEE4	maternal effect embryo arrest 4
AT1G04635	AtPOP5	
AT1G04635	EMB1687	EMBRYO DEFECTIVE 1687
AT1G04635	POP5	A. thaliana homolog of yeast POP5
AT1G04640	LIP2	lipoyltransferase 2
AT1G04690	KAB1	potassium channel beta subunit 1
AT1G04690	KV-BETA1	
AT1G04710	KAT1	3-KETO-ACYL-COA THIOLASE 1
AT1G04710	PKT4	peroxisomal 3-ketoacyl-CoA thiolase  4
AT1G04730	CTF18	CHROMOSOME TRANSMISSION FIDELITY 18
AT1G04750	AT VAMP7B	
AT1G04750	ATVAMP721	
AT1G04750	VAMP721	vesicle-associated membrane protein 721
AT1G04750	VAMP7B	VESICLE-ASSOCIATED MEMBRANE PROTEIN 7B
AT1G04760	ATVAMP726	vesicle-associated membrane protein 726
AT1G04760	VAMP726	vesicle-associated membrane protein 726
AT1G04820	TOR2	TORTIFOLIA 2
AT1G04820	TUA4	tubulin alpha-4 chain
AT1G04860	ATUBP2	
AT1G04860	UBP2	ubiquitin-specific protease 2
AT1G04870	ATPRMT10	
AT1G04870	PRMT10	protein arginine methyltransferase 10
AT1G04920	ATSPS3F	sucrose phosphate synthase 3F
AT1G04920	SPS3F	sucrose phosphate synthase 3F
AT1G04940	atTIC20	translocon at the inner envelope membrane of chloroplasts 20
AT1G04940	AtTic20-I	translocon at the inner envelope membrane of chloroplasts 20-I
AT1G04940	TIC20	translocon at the inner envelope membrane of chloroplasts 20
AT1G04940	Tic20-I	translocon at the inner envelope membrane of chloroplasts 20-I
AT1G04950	ATTAF6	
AT1G04950	EMB2781	EMBRYO DEFECTIVE 2781
AT1G04950	TAF6	TBP-associated factor 6
AT1G04950	TAFII59	TATA BOX ASSOCIATED FACTOR II 59
AT1G04980	ATPDI10	ARABIDOPSIS THALIANA PROTEIN DISULFIDE ISOMERASE 10
AT1G04980	ATPDIL2-2	PDI-like 2-2
AT1G04980	PDI10	PROTEIN DISULFIDE ISOMERASE
AT1G04980	PDIL2-2	PDI-like 2-2
AT1G05000	AtPFA-DSP1	
AT1G05000	PFA-DSP1	plant and fungi atypical dual-speci&#64257;city phosphatase 1
AT1G05010	ACO4	ethylene forming enzyme
AT1G05010	EAT1	
AT1G05010	EFE	ethylene-forming enzyme
AT1G05055	ATGTF2H2	
AT1G05055	GTF2H2	general transcription factor II H2
AT1G05065	CLE20	CLAVATA3/ESR-RELATED 20
AT1G05100	MAPKKK18	mitogen-activated protein kinase kinase kinase 18
AT1G05160	ATKAO1	
AT1G05160	CYP88A3	"cytochrome P450, family 88, subfamily A, polypeptide 3"
AT1G05160	KAO1	ENT-KAURENOIC ACID OXYDASE 1
AT1G05180	AXR1	AUXIN RESISTANT 1
AT1G05190	emb2394	embryo defective 2394
AT1G05200	ATGLR3.4	glutamate receptor 3.4
AT1G05200	GLR3.4	glutamate receptor 3.4
AT1G05200	GLUR3	
AT1G05230	HDG2	homeodomain GLABROUS 2
AT1G05250	AtPRX1	
AT1G05250	PRX2	peroxidase 2
AT1G05260	RCI3	RARE COLD INDUCIBLE GENE 3
AT1G05260	RCI3A	
AT1G05300	ZIP5	zinc transporter 5 precursor
AT1G05360	KMS2	Killing Me Slowly 2
AT1G05385	LPA19	LOW PSII ACCUMULATION 19
AT1G05385	Psb27-H1	
AT1G05420	ATOFP12	ARABIDOPSIS THALIANA OVATE FAMILY PROTEIN 12
AT1G05420	OFP12	ovate family protein 12
AT1G05460	SDE3	SILENCING DEFECTIVE
AT1G05470	CVP2	COTYLEDON VASCULAR PATTERN 2
AT1G05490	chr31	chromatin remodeling 31
AT1G05500	ATSYTE	ARABIDOPSIS THALIANA SYNAPTOTAGMIN HOMOLOG E
AT1G05500	NTMC2T2.1	
AT1G05500	NTMC2TYPE2.1	
AT1G05500	SYT5	synaptotagmin 5
AT1G05500	SYTE	SYNAPTOTAGMIN HOMOLOG E
AT1G05530	UGT2	UDP-GLUCOSYL TRANSFERASE 2
AT1G05530	UGT75B2	UDP-glucosyl transferase 75B2
AT1G05560	UGT1	UDP-GLUCOSE TRANSFERASE 1
AT1G05560	UGT75B1	UDP-glucosyltransferase 75B1
AT1G05570	ATGSL06	
AT1G05570	ATGSL6	
AT1G05570	CALS1	callose synthase 1
AT1G05570	GSL06	
AT1G05570	GSL6	GLUCAN SYNTHASE-LIKE 6
AT1G05580	ATCHX23	cation/H+ exchanger 23
AT1G05580	CHX23	cation/H+ exchanger 23
AT1G05590	ATHEX3	BETA-HEXOSAMINIDASE 3
AT1G05590	HEXO2	beta-hexosaminidase 2
AT1G05600	EMB3101	EMBRYO DEFECTIVE 3101
AT1G05610	APS2	ADP-glucose pyrophosphorylase small subunit 2
AT1G05620	NSH2	nucleoside hydrolase 2
AT1G05620	URH2	uridine-ribohydrolase  2
AT1G05630	5PTASE13	inositol-polyphosphate 5-phosphatase 13
AT1G05630	AT5PTASE13	Arabidopsis thaliana inositol-polyphosphate 5-phosphatase 13
AT1G05680	UGT74E2	Uridine diphosphate glycosyltransferase 74E2
AT1G05690	BT3	BTB and TAZ domain protein 3
AT1G05750	CLB19	
AT1G05750	PDE247	pigment defective 247
AT1G05760	RTM1	restricted tev movement 1
AT1G05800	DGL	DONGLE
AT1G05810	ARA	
AT1G05810	ARA-1	
AT1G05810	ATRAB11D	
AT1G05810	ATRABA5E	ARABIDOPSIS THALIANA RAB GTPASE HOMOLOG A5E
AT1G05810	RABA5E	RAB GTPase homolog A5E
